country,rank,account,title,link,followers,views_avg,likes_avg,comments_avg,shares_avg,engagement_per_view,engagement_per_1k_followers,kol_score
All,76,vhackerr,Vinnie,https://www.tiktok.com/@vhackerr,13500000.0,5000000.0,742700.0,16300.0,7600.0,0.15332,56.78518518518519,0.5258
All,77,fadiljaidi,Fadil Jaidi,https://www.tiktok.com/@fadiljaidi,6900000.0,8400000.0,866300.0,7400.0,4500.0,0.10454761904761904,127.27536231884056,0.3944
All,78,seventeen17_official,SEVENTEEN,https://www.tiktok.com/@seventeen17_official,3700000.0,2500000.0,932500.0,22200.0,14100.0,0.38752,261.8378378378378,0.8966000000000001
All,79,sucss.s,Açucena Guirra,https://www.tiktok.com/@sucss.s,9200000.0,6800000.0,1000000.0,7600.0,4200.0,0.14879411764705883,109.97826086956522,0.5906
All,80,usnan_tanong,Usnan Tanong,https://www.tiktok.com/@usnan_tanong,16000.0,5800000.0,405900.0,17400.0,16200.0,0.07577586206896551,27468.75,0.47480000000000006
All,81,adrianbliss,Adrian Bliss,https://www.tiktok.com/@adrianbliss,4600000.0,4600000.0,800300.0,3400.0,18000.0,0.1786304347826087,178.63043478260872,0.7452000000000001
All,82,deborahyowa,Deborah yowa,https://www.tiktok.com/@deborahyowa,6600000.0,11000000.0,602500.0,8100.0,3200.0,0.0558,93.0,0.23460000000000003
All,83,stephaniebeatriz,Stephanie Beatriz,https://www.tiktok.com/@stephaniebeatriz,1000000.0,4400000.0,940400.0,6200.0,10800.0,0.21759090909090908,957.4,0.914
All,84,candrasptr_,𝗦𝗼𝗺𝗯𝘆𝗮𝗿,https://www.tiktok.com/@candrasptr_,494000.0,3900000.0,575300.0,3300.0,27200.0,0.15533333333333332,1226.3157894736842,0.777
All,85,mycaninelife,My Canine Life,https://www.tiktok.com/@mycaninelife,134000.0,3700000.0,660600.0,4100.0,23300.0,0.18594594594594593,5134.328358208955,0.8808
All,86,vinnyguadagnino,vinnyguadagnino,https://www.tiktok.com/@vinnyguadagnino,2700000.0,7100000.0,505100.0,2300.0,16200.0,0.07374647887323944,193.92592592592592,0.3508
All,87,nguyenphucloi30,Phúc Lợi Vlogs 🇻🇳,https://www.tiktok.com/@nguyenphucloi30,1000000.0,4800000.0,251600.0,38400.0,15800.0,0.06370833333333334,305.8,0.36560000000000004
All,88,tydollasign,Ty Dolla $ign,https://www.tiktok.com/@tydollasign,576600.0,5100000.0,1100000.0,3200.0,8900.0,0.21805882352941178,1928.720083246618,0.925
All,89,vanessalopesr,Vanessa Lopes,https://www.tiktok.com/@vanessalopesr,19300000.0,6700000.0,725600.0,7400.0,6000.0,0.11029850746268657,38.29015544041451,0.2722
All,90,tifannylm,⚡️TEF,https://www.tiktok.com/@tifannylm,7500000.0,8700000.0,1200000.0,4900.0,1100.0,0.1386206896551724,160.8,0.5896
All,91,lelepons,Lele Pons,https://www.tiktok.com/@lelepons,26200000.0,8100000.0,901900.0,2500.0,6000.0,0.11239506172839506,34.74809160305344,0.2692
All,92,mynamsissihab,Mynameissihab,https://www.tiktok.com/@mynamsissihab,730400.0,7200000.0,813100.0,4300.0,6100.0,0.114375,1127.4644030668126,0.5766
All,93,jakefellman,Jake Fellman,https://www.tiktok.com/@jakefellman,12000000.0,8199999.999999999,603700.0,8500.0,3800.0,0.0751219512195122,51.333333333333336,0.20120000000000002
All,94,thoriqhal,thariqhalilintar,https://www.tiktok.com/@thoriqhal,3300000.0,8000000.0,1100000.0,4900.0,1900.0,0.13835,335.39393939393943,0.6502000000000001
All,95,adinross,adin,https://www.tiktok.com/@adinross,4600000.0,5800000.0,839700.0,6900.0,5200.0,0.14686206896551723,185.17391304347828,0.6394
All,96,kallmekris,Kris HC,https://www.tiktok.com/@kallmekris,42600000.0,5600000.0,1100000.0,5200.0,4300.0,0.198125,26.044600938967136,0.5643999999999999
All,97,isaiahgarza,Isaiah Garza,https://www.tiktok.com/@isaiahgarza,7300000.0,6500000.0,1100000.0,4700.0,3200.0,0.17044615384615386,151.7671232876712,0.7041999999999999
All,98,lyrico__,ʟʏʀɪᴄᴏ,https://www.tiktok.com/@lyrico__,2800000.0,3000000.0,369500.0,6400.0,44200.0,0.14003333333333334,150.03571428571428,0.5902000000000001
All,99,00h.88m,Gui,https://www.tiktok.com/@00h.88m,2500000.0,4300000.0,602300.0,2500.0,18800.0,0.14502325581395348,249.44,0.653
All,100,pinchulli,Ирина Пинчук,https://www.tiktok.com/@pinchulli,2100000.0,5400000.0,566600.0,2000.0,15700.0,0.1082037037037037,278.23809523809524,0.4842
All,101,soydekko,Soydekko,https://www.tiktok.com/@soydekko,4400000.0,5800000.0,1100000.0,7700.0,853.0,0.1911298275862069,251.94386363636363,0.7998
All,102,thebenjishowfr,benji,https://www.tiktok.com/@thebenjishowfr,5200000.0,5400000.0,717500.0,5000.0,7900.0,0.13525925925925925,140.46153846153848,0.5582
All,103,thelivingtombstone,The Living Tombstone,https://www.tiktok.com/@thelivingtombstone,1200000.0,3900000.0,908900.0,9100.0,4800.0,0.23661538461538462,769.0,0.9254
All,104,_monaalawi,mona,https://www.tiktok.com/@_monaalawi,11200000.0,7400000.0,952300.0,4600.0,2400.0,0.12963513513513514,85.65178571428571,0.4748
All,105,uncletics,Uncle Tics,https://www.tiktok.com/@uncletics,3700000.0,3800000.0,430200.0,3300.0,27200.0,0.12123684210526316,124.51351351351352,0.469
All,106,soojinicoreana,Chingu Amiga,https://www.tiktok.com/@soojinicoreana,16500000.0,7500000.0,1200000.0,3800.0,1700.0,0.16073333333333334,73.06060606060606,0.5906
All,107,agc.andy,andy,https://www.tiktok.com/@agc.andy,2400000.0,3500000.0,851000.0,6800.0,9400.0,0.24777142857142856,361.3333333333333,0.8954
All,108,dima_maslen,Дмитрий Масленников,https://www.tiktok.com/@dima_maslen,4500000.0,6000000.0,648600.0,10400.0,2100.0,0.11018333333333333,146.9111111111111,0.43179999999999996
All,109,girlsontop_sm,Girls On Top,https://www.tiktok.com/@girlsontop_sm,1000000.0,4800000.0,1000000.0,5900.0,3700.0,0.21033333333333334,1009.6,0.904
All,110,nicocaponecomedy,nicocapone.comedy,https://www.tiktok.com/@nicocaponecomedy,18900000.0,9300000.0,516900.0,2900.0,7100.0,0.05665591397849462,27.878306878306876,0.08940000000000001
All,111,mrbeast,MrBeast,https://www.tiktok.com/@mrbeast,32900000.0,4300000.0,642200.0,13500.0,3300.0,0.15325581395348836,20.030395136778115,0.41759999999999997
All,112,selinamichelle96,selinamichelle96,https://www.tiktok.com/@selinamichelle96,20500.0,3500000.0,650700.0,3100.0,17200.0,0.19171428571428573,32731.707317073175,0.9017999999999999
All,113,billlnai,nai,https://www.tiktok.com/@billlnai,8300000.000000001,5000000.0,1200000.0,4900.0,3100.0,0.2416,145.54216867469876,0.8113999999999999
All,114,give_my_oscar,give_my_oscar,https://www.tiktok.com/@give_my_oscar,862100.0,3900000.0,626900.0,2700.0,15700.0,0.16546153846153847,748.5210532420833,0.8006
All,115,piperrockelle,Piperrockelle,https://www.tiktok.com/@piperrockelle,8199999.999999999,4300000.0,527100.0,17000.0,2700.0,0.12716279069767442,66.6829268292683,0.4314
All,116,amauryguichon,Amaury Guichon,https://www.tiktok.com/@amauryguichon,2500000.0,5700000.0,672500.0,4500.0,7000.0,0.12,273.6,0.5321
All,117,sofarsabi,SOFARSABI,https://www.tiktok.com/@sofarsabi,5100000.0,6100000.0,755600.0,7600.0,1600.0,0.12537704918032788,149.9607843137255,0.5136000000000001
All,118,joaoguilherme,joão guilherme tlg?,https://www.tiktok.com/@joaoguilherme,6300000.0,5500000.0,726100.0,8100.0,2400.0,0.13392727272727273,116.92063492063492,0.5307999999999999
